Fiscal Year,Town Code,Municipality,Total Consideration for Taxable Conveyances,Total Amount Due,Consideration for Unimproved Land,Tax on Unimproved Land,Total Consideration for Residential Dwelling,Consideration for Residential Dwelling Under Threshold,Tax on Consideration Under Threshold Residential Dwelling,Consideration for Residential Dwelling Over Threshold,Tax on Consideration Over Threshold Residential Dwelling,Consideration for Residential Dwelling Between $800k-$2.5M,Tax on Consideration Between $800k-$2.5M Residential Dwelling,Consideration for Residential Dwelling Over $2.5M Threshold,Tax on Consideration Over $2.5M Threshold Residential Dwelling,Residential Property Other Than Dwelling,Tax on Residential Property Other Than Dwelling,Nonresidential Property Other Than Unimproved Land,Tax on Nonresidential Property Other Than Unimproved Land,Delinquent Mortgage Conveyance,Tax on Delinquent Mortgagor,Number of Taxable Conveyances,Number of Non-Taxable and Exempt Conveyances
FY 2020-21,045,EAST LYME (045),198890357.00,1616503.00,6538501.00,49039.00,184775710.00,171955860.00,1289669.00,,,10319850.00,128998.00,2500000.00,56250.00,431000.00,3233.00,7145146.00,89314.00,0.00,0.00,520,289
FY 2020-21,046,EASTON (046),157690017.00,1271590.00,2861240.00,21459.00,154828777.00,137045762.00,1027843.00,,,17783015.00,222288.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,231,85
FY 2020-21,047,EAST WINDSOR (047),69690115.00,563609.00,3288099.00,24661.00,59702682.00,57951069.00,434633.00,,,1700000.00,21250.00,51613.00,1161.00,367500.00,2756.00,6331834.00,79148.00,0.00,0.00,283,100
FY 2020-21,048,ELLINGTON (048),96868754.00,746925.00,3955363.00,29665.00,88297042.00,87542042.00,656565.00,,,755000.00,9438.00,0.00,0.00,1289500.00,9671.00,3326850.00,41586.00,0.00,0.00,334,124
FY 2020-21,049,ENFIELD (049),254997039.00,2214101.00,7413780.00,55603.00,184932848.00,184755848.00,1385669.00,,,177000.00,2213.00,0.00,0.00,2502750.00,18771.00,60147661.00,751846.00,0.00,0.00,911,329
FY 2020-21,050,ESSEX (050),132843438.00,1135340.00,1186000.00,8895.00,128252438.00,106199688.00,796498.00,,,19377750.00,242222.00,2675000.00,60188.00,3005000.00,22538.00,400000.00,5000.00,0.00,0.00,229,87
FY 2020-21,051,FAIRFIELD (051),1425245686.00,13044692.00,22118900.00,165892.00,1327303273.00,984025137.00,7380189.00,,,313557003.00,3919463.00,29721132.00,668725.00,7474000.00,56055.00,68349513.00,854369.00,0.00,0.00,1666,403
FY 2020-21,052,FARMINGTON (052),287094102.00,2413706.00,6552000.00,49140.00,244665292.00,228282187.00,1712116.00,,,16383105.00,204789.00,0.00,0.00,159800.00,1199.00,35717010.00,446463.00,0.00,0.00,678,331
FY 2020-21,053,FRANKLIN (053),15121124.00,117684.00,1770500.00,13279.00,12495499.00,12495499.00,93716.00,,,0.00,0.00,0.00,0.00,0.00,0.00,855125.00,10689.00,0.00,0.00,66,36
FY 2020-21,054,GLASTONBURY (054),356250651.00,2877429.00,6940825.00,52056.00,309739326.00,302425010.00,2268188.00,,,7314317.00,91429.00,0.00,0.00,5775000.00,43313.00,33795500.00,422444.00,0.00,0.00,844,334
FY 2020-21,055,GOSHEN (055),78502447.00,702896.00,3054000.00,22905.00,74098447.00,59247947.00,444360.00,,,11538000.00,144225.00,3312500.00,74531.00,0.00,0.00,1350000.00,16875.00,0.00,0.00,160,49
FY 2020-21,056,GRANBY (056),95705441.00,731481.00,8935575.00,67017.00,84260866.00,83915866.00,629369.00,,,345000.00,4313.00,0.00,0.00,116000.00,870.00,2393000.00,29913.00,0.00,0.00,282,157
FY 2020-21,057,GREENWICH (057),3899938995.00,51446013.00,71870487.00,539029.00,3749852008.00,1215969144.00,9119769.00,,,1616785471.00,20209818.00,917097393.00,20634691.00,7000000.00,52500.00,71216500.00,890206.00,0.00,0.00,1704,528
FY 2020-21,058,GRISWOLD (058),78883268.00,672215.00,2466986.00,18502.00,64478182.00,60339182.00,452544.00,,,3844000.00,48050.00,295000.00,6638.00,549000.00,4118.00,11389100.00,142364.00,0.00,0.00,299,114
FY 2020-21,059,GROTON (059),278956837.00,2361718.00,7255632.00,54417.00,246822205.00,217252317.00,1629392.00,,,28044888.00,350561.00,1525000.00,34313.00,3590500.00,26929.00,21288500.00,266106.00,0.00,0.00,747,355
FY 2020-21,060,GUILFORD (060),280920639.00,2329383.00,9260648.00,69455.00,264301540.00,232322864.00,1742421.00,,,29133708.00,364171.00,2844968.00,64012.00,531500.00,3986.00,6826951.00,85337.00,0.00,0.00,578,261
FY 2020-21,061,HADDAM (061),79149038.00,642448.00,4208000.00,31560.00,65934025.00,65175025.00,488813.00,,,759000.00,9488.00,0.00,0.00,0.00,0.00,9007013.00,112588.00,0.00,0.00,218,85
FY 2020-21,062,HAMDEN (062),338435668.00,2746573.00,3813344.00,28600.00,281157947.00,280822947.00,2106172.00,,,335000.00,4188.00,0.00,0.00,12138333.00,91037.00,41326043.00,516576.00,0.00,0.00,1206,423
FY 2020-21,063,HAMPTON (063),13003697.00,106028.00,634147.00,4756.00,12369550.00,10669550.00,80022.00,,,1700000.00,21250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50,27
FY 2020-21,064,HARTFORD (064),375511090.00,3151083.00,2302352.00,17268.00,184816883.00,184060720.00,1380455.00,,,756163.00,9452.00,0.00,0.00,122197970.00,916485.00,66193885.00,827424.00,0.00,0.00,1049,397
FY 2020-21,065,HARTLAND (065),12449900.00,93374.00,606500.00,4549.00,11843400.00,11843400.00,88826.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48,20
FY 2020-21,066,HARWINTON (066),42063559.00,318227.00,972800.00,7296.00,40590759.00,40540759.00,304056.00,,,50000.00,625.00,0.00,0.00,0.00,0.00,500000.00,6250.00,0.00,0.00,136,64
FY 2020-21,067,HEBRON (067),66441716.00,510263.00,999442.00,7496.00,62792374.00,62677374.00,470080.00,,,115000.00,1438.00,0.00,0.00,374900.00,2812.00,2275000.00,28438.00,0.00,0.00,211,86
FY 2020-21,068,KENT (068),65187290.00,560534.00,3907315.00,29305.00,60389975.00,48504087.00,363781.00,,,11110888.00,138886.00,775000.00,17438.00,0.00,0.00,890000.00,11125.00,0.00,0.00,141,33
FY 2020-21,069,KILLINGLY (069),100790282.00,786397.00,1889250.00,14169.00,91553780.00,91553780.00,686653.00,,,0.00,0.00,0.00,0.00,1253235.00,9399.00,6094017.00,76175.00,0.00,0.00,447,186
FY 2020-21,070,KILLINGWORTH (070),59986500.00,457319.00,2001400.00,15011.00,57821100.00,56337100.00,422528.00,,,1484000.00,18550.00,0.00,0.00,164000.00,1230.00,0.00,0.00,0.00,0.00,171,67
FY 2020-21,071,LEBANON (071),40306053.00,308880.00,3888482.00,29164.00,35082149.00,35057149.00,262929.00,,,25000.00,313.00,0.00,0.00,43500.00,326.00,1291922.00,16149.00,0.00,0.00,171,79
FY 2020-21,072,LEDYARD (072),97507380.00,732155.00,2028000.00,15210.00,95039380.00,95039380.00,712795.00,,,0.00,0.00,0.00,0.00,270000.00,2025.00,170000.00,2125.00,0.00,0.00,395,127
FY 2020-21,073,LISBON (073),25883912.00,205129.00,1632300.00,12242.00,22011612.00,22011612.00,165087.00,,,0.00,0.00,0.00,0.00,40000.00,300.00,2200000.00,27500.00,0.00,0.00,107,47
FY 2020-21,074,LITCHFIELD (074),119771743.00,976938.00,4946729.00,37100.00,112847014.00,98997014.00,742478.00,,,13850000.00,173125.00,0.00,0.00,98000.00,735.00,1880000.00,23500.00,0.00,0.00,286,137
FY 2020-21,075,LYME (075),57024842.00,494204.00,3401640.00,25512.00,53208202.00,41904583.00,314284.00,,,10303619.00,128795.00,1000000.00,22500.00,415000.00,3113.00,0.00,0.00,0.00,0.00,94,34
FY 2020-21,076,MADISON (076),318786285.00,2659017.00,6740711.00,50555.00,298818074.00,261256699.00,1959425.00,,,35861375.00,448267.00,1700000.00,38250.00,565000.00,4238.00,12662500.00,158281.00,0.00,0.00,535,199
FY 2020-21,077,MANCHESTER (077),277352974.00,2335146.00,2920601.00,21905.00,221080711.00,221080711.00,1658105.00,,,0.00,0.00,0.00,0.00,2352000.00,17640.00,50999662.00,637496.00,0.00,0.00,1074,380
FY 2020-21,078,MANSFIELD (078),82354704.00,633133.00,1098177.00,8236.00,66937024.00,66937024.00,502028.00,,,0.00,0.00,0.00,0.00,11225000.00,84188.00,3094503.00,38681.00,0.00,0.00,288,102
FY 2020-21,079,MARLBOROUGH (079),51446462.00,387098.00,1143500.00,8576.00,50100462.00,49850462.00,373878.00,,,250000.00,3125.00,0.00,0.00,202500.00,1519.00,0.00,0.00,0.00,0.00,168,67
FY 2020-21,080,MERIDEN (080),288409292.00,2354768.00,4643715.00,34828.00,197823862.00,197823862.00,1483679.00,,,0.00,0.00,0.00,0.00,47602000.00,357015.00,38339715.00,479246.00,0.00,0.00,1120,379
FY 2020-21,081,MIDDLEBURY (081),107451106.00,853388.00,5146405.00,38598.00,99959701.00,93218826.00,699141.00,,,6490875.00,81136.00,250000.00,5625.00,85000.00,638.00,2260000.00,28250.00,0.00,0.00,262,108
FY 2020-21,082,MIDDLEFIELD (082),26177349.00,201785.00,1088100.00,8161.00,23987249.00,23987249.00,179904.00,,,0.00,0.00,0.00,0.00,11000.00,83.00,1091000.00,13638.00,0.00,0.00,101,29
FY 2020-21,083,MIDDLETOWN (083),234649938.00,1878091.00,3629770.00,27223.00,207901972.00,207291845.00,1554689.00,,,610127.00,7627.00,0.00,0.00,85000.00,638.00,23033197.00,287915.00,0.00,0.00,949,302
FY 2020-21,084,MILFORD (084),498575534.00,4069869.00,11256311.00,84422.00,433213680.00,418742135.00,3140566.00,,,14471545.00,180894.00,0.00,0.00,2466600.00,18500.00,51638944.00,645487.00,0.00,0.00,1251,471
FY 2020-21,085,MONROE (085),203409752.00,1586133.00,5893668.00,44203.00,190544084.00,187124084.00,1403431.00,,,2520000.00,31500.00,900000.00,20250.00,80000.00,600.00,6892000.00,86150.00,0.00,0.00,497,167
FY 2020-21,086,MONTVILLE (086),94969595.00,730788.00,2570123.00,19276.00,85882782.00,85582782.00,641871.00,,,300000.00,3750.00,0.00,0.00,3113490.00,23351.00,3403200.00,42540.00,0.00,0.00,419,178
FY 2020-21,087,MORRIS (087),33567787.00,257008.00,1191446.00,8936.00,31876341.00,31326341.00,234948.00,,,550000.00,6875.00,0.00,0.00,0.00,0.00,500000.00,6250.00,0.00,0.00,88,38
FY 2020-21,088,NAUGATUCK (088),157887621.00,1229975.00,4119500.00,30896.00,144604622.00,144604622.00,1084535.00,,,0.00,0.00,0.00,0.00,0.00,0.00,9163499.00,114544.00,0.00,0.00,713,243
FY 2020-21,089,NEW BRITAIN (089),226333699.00,1788142.00,2420656.00,18155.00,198866843.00,198445994.00,1488345.00,,,420849.00,5261.00,0.00,0.00,7339200.00,55044.00,17707000.00,221338.00,0.00,0.00,1089,435
FY 2020-21,090,NEW CANAAN (090),1087131168.00,11764541.00,11942200.00,89567.00,1064219728.00,506261501.00,3796961.00,,,480612592.00,6007657.00,77345635.00,1740277.00,1407200.00,10554.00,9562040.00,119526.00,0.00,0.00,693,174
FY 2020-21,091,NEW FAIRFIELD (091),202925460.00,1675983.00,3598100.00,26986.00,198982360.00,176198860.00,1321491.00,,,18943500.00,236794.00,3840000.00,86400.00,0.00,0.00,345000.00,4313.00,0.00,0.00,421,171
FY 2020-21,092,NEW HARTFORD (092),49829624.00,391622.00,1721400.00,12911.00,45053224.00,44278224.00,332087.00,,,775000.00,9688.00,0.00,0.00,250000.00,1875.00,2805000.00,35063.00,0.00,0.00,170,74
FY 2020-21,093,NEW HAVEN (093),482213315.00,3957261.00,10875166.00,81564.00,297671704.00,291528216.00,2186462.00,,,6143488.00,76794.00,0.00,0.00,111677645.00,837582.00,61988800.00,774860.00,0.00,0.00,1228,761
FY 2020-21,094,NEWINGTON (094),189532197.00,1486973.00,3938200.00,29537.00,148560334.00,147868484.00,1109014.00,,,691850.00,8648.00,0.00,0.00,24629300.00,184720.00,12404363.00,155055.00,0.00,0.00,667,291
FY 2020-21,095,NEW LONDON (095),102027937.00,897124.00,644000.00,4830.00,74797162.00,74022162.00,555166.00,,,775000.00,9688.00,0.00,0.00,978875.00,7342.00,25607900.00,320099.00,0.00,0.00,408,147
FY 2020-21,096,NEW MILFORD (096),293910458.00,2419211.00,10913300.00,81850.00,255105165.00,239494587.00,1796209.00,,,15610578.00,195132.00,0.00,0.00,526000.00,3945.00,27365992.00,342075.00,1.00,0.00,796,273
FY 2020-21,097,NEWTOWN (097),370632004.00,2909444.00,7185540.00,53892.00,348547893.00,340398122.00,2552986.00,,,6624772.00,82810.00,1525000.00,34313.00,157500.00,1181.00,14741071.00,184263.00,0.00,0.00,805,271
FY 2020-21,098,NORFOLK (098),22210862.00,187676.00,1045000.00,7838.00,20960862.00,16949220.00,127119.00,,,4010545.00,50132.00,1098.00,25.00,0.00,0.00,205000.00,2563.00,0.00,0.00,52,25
FY 2020-21,099,NORTH BRANFORD (099),83264506.00,658508.00,2739000.00,20543.00,73720658.00,73720658.00,552905.00,,,0.00,0.00,0.00,0.00,0.00,0.00,6804848.00,85061.00,0.00,0.00,264,121
FY 2020-21,100,NORTH CANAAN (100),25367708.00,215009.00,1207000.00,9053.00,20535708.00,17067958.00,128010.00,,,3467750.00,43347.00,0.00,0.00,2142500.00,16069.00,1482500.00,18531.00,0.00,0.00,83,25
FY 2020-21,101,NORTH HAVEN (101),181587795.00,1430936.00,6976175.00,52321.00,160240545.00,158222045.00,1186665.00,,,2018500.00,25231.00,0.00,0.00,2584000.00,19380.00,11787075.00,147338.00,0.00,0.00,517,211
FY 2020-21,102,NORTH STONINGTON (102),45551846.00,397614.00,2373500.00,17801.00,31854346.00,31854346.00,238908.00,,,0.00,0.00,0.00,0.00,129000.00,968.00,11195000.00,139938.00,0.00,0.00,130,99
FY 2020-21,103,NORWALK (103),1271896468.00,11127494.00,23255625.00,174417.00,998975416.00,808275184.00,6062064.00,,,159379232.00,1992240.00,31321000.00,704723.00,185353500.00,1390151.00,64311927.00,803899.00,0.00,0.00,1836,578
FY 2020-21,104,NORWICH (104),169441930.00,1325898.00,3249699.00,24373.00,133389305.00,133388007.00,1000410.00,,,1298.00,16.00,0.00,0.00,21787515.00,163406.00,11015411.00,137693.00,0.00,0.00,907,347
FY 2020-21,105,OLD LYME (105),142713680.00,1173954.00,3715000.00,27863.00,135483680.00,119478430.00,896088.00,,,15405250.00,192566.00,600000.00,13500.00,0.00,0.00,3515000.00,43938.00,0.00,0.00,288,181
FY 2020-21,106,OLD SAYBROOK (106),207260359.00,1775235.00,4096500.00,30724.00,183425431.00,158742931.00,1190572.00,,,24557500.00,306969.00,125000.00,2813.00,514500.00,3859.00,19223928.00,240299.00,0.00,0.00,395,187
FY 2020-21,107,ORANGE (107),130124314.00,1116507.00,2243500.00,16826.00,102851314.00,99761314.00,748210.00,,,3090000.00,38625.00,0.00,0.00,4500.00,34.00,25025000.00,312813.00,0.00,0.00,250,143
FY 2020-21,108,OXFORD (108),131627106.00,1057653.00,2813660.00,21102.00,115348446.00,114723446.00,860426.00,,,625000.00,7813.00,0.00,0.00,0.00,0.00,13465000.00,168313.00,0.00,0.00,313,119
FY 2020-21,109,PLAINFIELD (109),98897247.00,775725.00,12487333.00,93655.00,78640854.00,78570854.00,589281.00,,,70000.00,875.00,0.00,0.00,1040000.00,7800.00,6729060.00,84113.00,0.00,0.00,394,162
FY 2020-21,110,PLAINVILLE (110),109126783.00,895969.00,223750.00,1678.00,92299380.00,91349380.00,685120.00,,,950000.00,11875.00,0.00,0.00,2050000.00,15375.00,14553653.00,181921.00,0.00,0.00,432,155
FY 2020-21,111,PLYMOUTH (111),54397259.00,412920.00,816035.00,6120.00,52415113.00,52415113.00,393113.00,,,0.00,0.00,0.00,0.00,178000.00,1335.00,988111.00,12351.00,0.00,0.00,279,97
FY 2020-21,112,POMFRET (112),28744140.00,230119.00,461375.00,3460.00,26532765.00,25375265.00,190314.00,,,1157500.00,14469.00,0.00,0.00,0.00,0.00,1750000.00,21875.00,0.00,0.00,82,57
FY 2020-21,113,PORTLAND (113),62295961.00,508097.00,1789096.00,13418.00,52166365.00,52166365.00,391248.00,,,0.00,0.00,0.00,0.00,165000.00,1238.00,8175500.00,102194.00,0.00,0.00,228,95
FY 2020-21,114,PRESTON (114),35959738.00,271073.00,3682100.00,27616.00,31854638.00,31854638.00,238910.00,,,0.00,0.00,0.00,0.00,148000.00,1110.00,275000.00,3438.00,0.00,0.00,157,73
FY 2020-21,115,PROSPECT (115),64556532.00,489299.00,916650.00,6875.00,62614882.00,62614882.00,469612.00,,,0.00,0.00,0.00,0.00,0.00,0.00,1025000.00,12813.00,0.00,0.00,218,83
FY 2020-21,116,PUTNAM (116),60053338.00,488003.00,4558897.00,34192.00,47423871.00,47423871.00,355679.00,,,0.00,0.00,0.00,0.00,550000.00,4125.00,7520570.00,94007.00,0.00,0.00,249,111
FY 2020-21,117,REDDING (117),199282665.00,1636953.00,4679900.00,35099.00,193416765.00,166202977.00,1246522.00,,,27104900.00,338811.00,108888.00,2450.00,151000.00,1133.00,1035000.00,12938.00,0.00,0.00,300,81
FY 2020-21,118,RIDGEFIELD (118),650286389.00,5793937.00,3073400.00,23051.00,633892214.00,499669575.00,3747522.00,,,116307139.00,1453839.00,17915500.00,403099.00,16500.00,124.00,13304275.00,166303.00,0.00,0.00,851,222
FY 2020-21,119,ROCKY HILL (119),110232499.00,885789.00,653800.00,4904.00,97696699.00,97611699.00,732088.00,,,85000.00,1063.00,0.00,0.00,158000.00,1185.00,11724000.00,146550.00,0.00,0.00,377,190
FY 2020-21,120,ROXBURY (120),85557602.00,826887.00,6311000.00,47333.00,79246602.00,50017564.00,375132.00,,,25323038.00,316538.00,3906000.00,87885.00,0.00,0.00,0.00,0.00,0.00,0.00,96,49
FY 2020-21,121,SALEM (121),35231577.00,269262.00,1836400.00,13773.00,32210677.00,32210677.00,241580.00,,,0.00,0.00,0.00,0.00,179500.00,1346.00,1005000.00,12563.00,0.00,0.00,141,52
FY 2020-21,122,SALISBURY (122),156063800.00,1526496.00,10878000.00,81585.00,135153800.00,85751300.00,643135.00,,,40109500.00,501369.00,9293000.00,209093.00,6817000.00,51128.00,3215000.00,40188.00,0.00,0.00,180,75
FY 2020-21,123,SCOTLAND (123),8991849.00,67439.00,386534.00,2899.00,8424315.00,8424315.00,63182.00,,,0.00,0.00,0.00,0.00,181000.00,1358.00,0.00,0.00,0.00,0.00,39,19
FY 2020-21,124,SEYMOUR (124),145739599.00,1333350.00,4735500.00,35516.00,92914025.00,92914025.00,696855.00,,,0.00,0.00,0.00,0.00,29500.00,221.00,48060574.00,600757.00,0.00,0.00,375,138
FY 2020-21,125,SHARON (125),89328114.00,986546.00,6424999.00,48187.00,78348521.00,46941421.00,352061.00,,,16044100.00,200551.00,15363000.00,345668.00,3370594.00,25279.00,1184000.00,14800.00,0.00,0.00,136,57
FY 2020-21,126,SHELTON (126),390784576.00,3178929.00,9471300.00,71035.00,333203269.00,330677269.00,2480080.00,,,2526000.00,31575.00,0.00,0.00,1027000.00,7703.00,47083007.00,588538.00,0.00,0.00,920,346
FY 2020-21,127,SHERMAN (127),81158188.00,681105.00,3217750.00,24133.00,77940438.00,63456638.00,475925.00,,,14483800.00,181048.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,133,69
FY 2020-21,128,SIMSBURY (128),218752766.00,1699839.00,5317780.00,39883.00,201451403.00,201176403.00,1508823.00,,,275000.00,3438.00,0.00,0.00,420000.00,3150.00,11563583.00,144545.00,0.00,0.00,628,215
FY 2020-21,129,SOMERS (129),77728229.00,628428.00,3294607.00,24710.00,65796092.00,65285292.00,489640.00,,,510800.00,6385.00,0.00,0.00,55000.00,413.00,8582530.00,107282.00,0.00,0.00,229,127
FY 2020-21,130,SOUTHBURY (130),226275633.00,1721607.00,7617773.00,57133.00,215023860.00,213749860.00,1603124.00,,,1274000.00,15925.00,0.00,0.00,0.00,0.00,3634000.00,45425.00,0.00,0.00,724,207
FY 2020-21,131,SOUTHINGTON (131),312357681.00,2470229.00,7856750.00,58926.00,277645709.00,277000709.00,2077505.00,,,645000.00,8063.00,0.00,0.00,1991000.00,14933.00,24864222.00,310803.00,0.00,0.00,992,467
FY 2020-21,132,SOUTH WINDSOR (132),366750128.00,3632614.00,7417173.00,55629.00,182445084.00,182120262.00,1365902.00,,,324822.00,4060.00,0.00,0.00,815000.00,6113.00,176072870.00,2200911.00,0.00,0.00,678,226
