Fiscal Year,Town Code,Municipality,Total Consideration for Taxable Conveyances,Total Amount Due,Consideration for Unimproved Land,Tax on Unimproved Land,Total Consideration for Residential Dwelling,Consideration for Residential Dwelling Under Threshold,Tax on Consideration Under Threshold Residential Dwelling,Consideration for Residential Dwelling Over Threshold,Tax on Consideration Over Threshold Residential Dwelling,Consideration for Residential Dwelling Between $800k-$2.5M,Tax on Consideration Between $800k-$2.5M Residential Dwelling,Consideration for Residential Dwelling Over $2.5M Threshold,Tax on Consideration Over $2.5M Threshold Residential Dwelling,Residential Property Other Than Dwelling,Tax on Residential Property Other Than Dwelling,Nonresidential Property Other Than Unimproved Land,Tax on Nonresidential Property Other Than Unimproved Land,Delinquent Mortgage Conveyance,Tax on Delinquent Mortgagor,Number of Taxable Conveyances,Number of Non-Taxable and Exempt Conveyances
FY 2022-23,001,ANDOVER (001),13715289.51,104657.18,871100.00,6533.25,12484189.51,12484189.51,93631.43,,,0.00,0.00,0.00,0.00,0.00,0.00,360000.00,4500.00,0.00,0.00,46,16
FY 2022-23,002,ANSONIA (002),72506334.67,559369.36,2376510.00,12536.25,64892327.33,63467327.33,473852.47,,,1425000.00,17812.50,0.00,0.00,50000.00,375.00,5187497.34,54793.72,0.00,0.00,231,168
FY 2022-23,003,ASHFORD (003),27031172.23,222373.29,981140.00,7358.55,24446812.00,21994812.00,161646.09,,,2180000.00,27250.00,272000.00,6120.00,8320.23,62.40,1594900.00,19936.25,0.00,0.00,84,56
FY 2022-23,004,AVON (004),232014177.59,1809584.37,6335375.00,47515.31,185546998.59,169940172.59,1243943.74,,,15331826.00,190760.33,0.00,0.00,34856500.00,261423.75,5275304.00,65941.30,0.00,0.00,392,205
FY 2022-23,005,BARKHAMSTED (005),23752399.94,188492.99,1291900.00,9539.25,20200499.94,20100499.94,150753.74,,,100000.00,1250.00,0.00,0.00,260000.00,1950.00,2000000.00,25000.00,0.00,0.00,76,35
FY 2022-23,006,BEACON FALLS (006),45074056.00,340780.37,616000.00,4620.00,43913056.00,43913056.00,329347.95,,,0.00,0.00,0.00,0.00,0.00,0.00,545000.00,6812.50,0.00,0.00,132,80
FY 2022-23,007,BERLIN (007),118241498.41,968774.94,4006600.00,29929.50,92760398.41,92580310.41,669388.59,,,180088.00,2251.10,0.00,0.00,245000.00,1837.50,21229500.00,265368.75,0.00,0.00,295,242
FY 2022-23,008,BETHANY (008),35087386.00,270528.62,600000.00,4500.00,34087386.00,33012725.00,247595.44,,,1074661.00,13433.26,0.00,0.00,0.00,0.00,400000.00,5000.00,0.00,0.00,76,65
FY 2022-23,009,BETHEL (009),147579430.51,1173051.13,3131490.00,23486.10,130763190.51,129560593.51,963473.20,,,1202597.00,15032.46,0.00,0.00,0.00,0.00,13684750.00,171059.38,0.00,0.00,289,205
FY 2022-23,010,BETHLEHEM (010),26203793.00,203013.95,1146900.00,8601.75,25056893.00,23759893.00,178199.21,,,1297000.00,16212.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59,65
FY 2022-23,011,BLOOMFIELD (011),126989528.85,1042794.64,3528010.00,26460.08,82254923.00,82234923.00,609625.69,,,20000.00,250.00,0.00,0.00,19761000.00,148207.50,21131950.00,255899.38,313645.85,2352.34,303,200
FY 2022-23,012,BOLTON (012),25621731.51,193094.23,455501.00,3416.26,24026230.50,24001230.50,175115.51,,,25000.00,312.50,0.00,0.00,0.00,0.00,1140000.00,14250.00,0.01,0.00,79,59
FY 2022-23,013,BOZRAH (013),8012971.00,65339.03,402000.00,3015.00,6562621.00,6562621.00,49219.66,,,0.00,0.00,0.00,0.00,0.00,0.00,1048350.00,13104.37,0.00,0.00,31,38
FY 2022-23,014,BRANFORD (014),298640375.16,2686791.36,7849970.01,58874.71,227143004.15,196104279.15,1448893.37,,,27076225.00,337202.82,3962500.00,89156.25,8586050.00,64395.38,55061351.00,688266.89,0.00,0.00,565,461
FY 2022-23,015,BRIDGEPORT (015),602571285.43,4518241.29,11888038.00,82702.79,438345544.19,434891544.19,3153816.49,,,2815000.00,35187.50,0.00,0.00,66302001.75,476212.51,84535701.49,770321.27,1500000.00,0.00,1594,940
FY 2022-23,016,BRIDGEWATER (016),25480680.00,231760.75,1250000.00,9375.00,24230680.00,17119550.00,128396.63,,,6601130.00,82514.13,510000.00,11475.00,0.00,0.00,0.00,0.00,0.00,0.00,31,26
FY 2022-23,017,BRISTOL (017),383614537.57,3344273.48,5153199.38,34466.71,257232880.10,256585880.10,1880344.83,,,647000.00,5312.50,0.00,0.00,13201000.00,96420.00,107668358.09,1327729.48,359100.00,0.00,1014,610
FY 2022-23,018,BROOKFIELD (018),153526062.23,1242589.61,2511078.00,14745.29,140879841.66,128120194.65,944108.96,,,12435647.01,155445.59,324000.00,7290.00,200000.00,1500.00,9935142.57,119489.29,0.00,0.00,291,175
FY 2022-23,019,BROOKLYN (019),48829324.00,382954.93,1619500.00,12146.25,46384824.00,44334824.00,331371.19,,,1700000.00,21250.00,350000.00,7875.00,0.00,0.00,825000.00,10312.50,0.00,0.00,166,124
FY 2022-23,020,BURLINGTON (020),80987964.83,626564.94,4489001.00,33667.51,74100963.83,72388630.00,541519.75,,,1712333.83,21404.18,0.00,0.00,0.00,0.00,2398000.00,29975.00,0.00,0.00,176,99
FY 2022-23,021,CANAAN (021),9405340.00,79365.05,1024540.00,7684.05,7940800.00,6615800.00,49618.50,,,1325000.00,16562.50,0.00,0.00,0.00,0.00,440000.00,5500.00,0.00,0.00,24,21
FY 2022-23,022,CANTERBURY (022),28922677.00,225513.26,2046800.00,14976.00,24847240.00,24797240.00,184554.30,,,50000.00,625.00,0.00,0.00,0.00,0.00,2028637.00,25357.96,0.00,0.00,101,75
FY 2022-23,023,CANTON (023),79846782.00,652524.97,3410633.00,25579.75,66925329.00,65521329.00,491410.00,,,1404000.00,17550.00,0.00,0.00,180000.00,1350.00,9330820.00,116635.25,0.00,0.00,202,107
FY 2022-23,024,CHAPLIN (024),10745431.00,81598.24,264390.00,1907.93,9877041.00,9877041.00,72690.31,,,0.00,0.00,0.00,0.00,110000.00,825.00,494000.00,6175.00,0.00,0.00,44,41
FY 2022-23,025,CHESHIRE (025),279017508.91,2601938.18,5284501.00,39633.76,182026568.91,171259244.00,1281519.35,,,10767324.91,134591.59,0.00,0.00,27500.00,206.25,91678939.00,1145986.74,0.00,0.00,413,281
FY 2022-23,026,CHESTER (026),26065939.00,204719.49,1431000.00,10732.50,22915439.00,22227439.00,163893.29,,,688000.00,8600.00,0.00,0.00,0.00,0.00,1719500.00,21493.75,0.00,0.00,63,48
FY 2022-23,027,CLINTON (027),98018137.39,809941.57,575501.00,4316.26,92958636.39,83157866.39,617785.20,,,8400770.00,105009.63,1400000.00,31500.00,944000.00,7080.00,3540000.00,44250.00,0.00,0.00,246,174
FY 2022-23,028,COLCHESTER (028),105811829.05,811448.51,2825086.00,21188.15,97299429.05,97299429.05,722050.80,,,0.00,0.00,0.00,0.00,576314.00,4322.36,5111000.00,63887.50,0.00,0.00,305,157
FY 2022-23,029,COLEBROOK (029),10631302.00,83234.75,831001.00,6232.51,9425301.00,8725301.00,65439.75,,,700000.00,8750.00,0.00,0.00,375000.00,2812.50,0.00,0.00,0.00,0.00,31,21
FY 2022-23,030,COLUMBIA (030),33929983.57,262324.88,1048500.00,7863.75,32346483.57,31201483.57,234011.13,,,1145000.00,14312.50,0.00,0.00,110000.00,825.00,425000.00,5312.50,0.00,0.00,93,63
FY 2022-23,031,CORNWALL (031),25652787.75,242410.91,2138031.50,16035.24,22179756.25,15911756.25,119338.17,,,5068000.00,63350.00,1200000.00,27000.00,0.00,0.00,1335000.00,16687.50,0.00,0.00,42,33
FY 2022-23,032,COVENTRY (032),67670039.43,532860.78,745751.00,5593.14,62196288.43,61631288.43,462234.67,,,565000.00,7062.50,0.00,0.00,226500.00,1698.75,4501500.00,56268.75,0.00,0.00,215,163
FY 2022-23,033,CROMWELL (033),96321191.77,755110.88,2660500.00,19953.75,85558257.77,85318257.77,631931.71,,,240000.00,3000.00,0.00,0.00,209500.00,1571.25,7892934.00,98661.68,0.00,0.00,278,140
FY 2022-23,034,DANBURY (034),501347138.35,4246363.85,13245653.09,97189.76,388621524.66,382444529.66,2828970.01,,,6176995.00,77212.44,0.00,0.00,103000.00,772.50,99376960.60,1242212.02,0.00,0.00,1044,591
FY 2022-23,035,DARIEN (035),770190334.66,8219599.03,10209200.00,76569.00,631031134.66,246158721.66,1846190.34,,,290291452.00,3628643.15,94580961.00,2128071.62,86850000.00,13875.00,42100000.00,526250.00,0.00,0.00,330,169
FY 2022-23,036,DEEP RIVER (036),23834427.17,189952.49,1670601.00,12529.51,20788826.17,19193826.17,143423.07,,,1595000.00,19937.50,0.00,0.00,625000.00,4687.50,750000.00,9375.00,0.00,0.00,74,73
FY 2022-23,037,DERBY (037),65639974.94,469765.68,939501.00,7046.25,59100473.94,59050473.94,431390.68,,,50000.00,625.00,0.00,0.00,110000.00,825.00,5490000.00,29875.00,0.00,0.00,214,94
FY 2022-23,038,DURHAM (038),36666145.07,305511.10,1803000.00,13522.50,29748145.07,28760145.07,215701.10,,,988000.00,12350.00,0.00,0.00,0.00,0.00,5115000.00,63937.50,0.00,0.00,87,57
FY 2022-23,039,EASTFORD (039),15851697.00,116948.98,779000.00,5842.50,14322697.00,14316697.00,105406.48,,,6000.00,75.00,0.00,0.00,750000.00,5625.00,0.00,0.00,0.00,0.00,55,51
FY 2022-23,040,EAST GRANBY (040),51012248.95,420079.38,6441298.00,48309.75,29027165.61,29002165.61,216228.84,,,25000.00,312.50,0.00,0.00,7813785.34,58603.38,7730000.00,96625.00,0.00,0.00,103,59
FY 2022-23,041,EAST HADDAM (041),66965395.00,550942.88,2752400.00,20643.00,57130995.00,54120995.00,404684.89,,,3010000.00,37625.00,0.00,0.00,107000.00,802.50,6975000.00,87187.50,0.00,0.00,183,156
FY 2022-23,042,EAST HAMPTON (042),99736711.87,810590.85,4321401.00,32410.51,82722210.87,82722210.87,620416.61,,,0.00,0.00,0.00,0.00,180000.00,1350.00,12513100.00,156413.75,0.00,0.00,285,165
FY 2022-23,043,EAST HARTFORD (043),242459459.69,2282003.02,614610.00,4594.58,139149443.29,139149443.29,1026331.71,,,0.00,0.00,0.00,0.00,6523000.00,48922.50,96172406.40,1202155.08,0.00,0.00,659,359
FY 2022-23,044,EAST HAVEN (044),145193621.29,1179810.64,1416896.85,9199.51,121657224.44,118588224.44,876639.91,,,2779000.00,34737.50,0.00,0.00,1327000.00,9952.50,20792500.00,249281.25,0.00,0.00,433,306
FY 2022-23,045,EAST LYME (045),179074536.27,1453168.08,1285903.00,9644.28,165055083.27,152799198.15,1137069.02,,,11005885.12,133823.57,1250000.00,28125.00,182500.00,1368.75,12551000.00,143137.50,50.00,0.38,384,285
FY 2022-23,046,EASTON (046),102245229.69,844986.75,2132932.00,15996.99,100112297.69,82274547.69,605967.88,,,17832750.00,222909.38,5000.00,112.50,0.00,0.00,0.00,0.00,0.00,0.00,129,96
FY 2022-23,047,EAST WINDSOR (047),107923523.30,1006151.76,11337701.00,85032.77,53731759.30,53731759.30,400138.21,,,0.00,0.00,0.00,0.00,2939000.00,22042.50,39915063.00,498938.29,0.00,0.00,226,144
FY 2022-23,048,ELLINGTON (048),108775445.63,973063.88,4363450.00,32725.88,71934815.63,71534815.63,531898.26,,,400000.00,5000.00,0.00,0.00,505000.00,3787.50,31972180.00,399652.25,0.00,0.00,234,121
FY 2022-23,049,ENFIELD (049),214300688.51,1774467.17,4135189.44,30867.49,168236907.07,168236907.07,1233781.46,,,0.00,0.00,0.00,0.00,2856333.00,21422.50,39072259.00,488403.24,0.00,0.00,688,343
FY 2022-23,050,ESSEX (050),95736302.00,878530.58,729225.00,5430.19,88237077.00,66497592.00,498731.96,,,18839485.00,235493.57,2900000.00,65250.00,2200000.00,16500.00,4570000.00,57125.00,0.00,0.00,144,86
FY 2022-23,051,FAIRFIELD (051),918578979.78,8367569.75,31891551.00,235858.87,852532527.03,595470020.68,4419595.13,,,228821323.27,2805454.05,27341183.08,504725.69,5000006.00,37500.01,29154895.75,364436.20,0.00,0.00,943,470
FY 2022-23,052,FARMINGTON (052),306099165.19,2642464.85,5410116.00,40575.87,223349746.92,195187159.00,1404699.86,,,20612587.92,193907.35,7550000.00,75375.00,667000.00,5002.50,69572302.27,869653.78,7100000.00,53250.00,499,371
FY 2022-23,053,FRANKLIN (053),16370425.91,137995.19,5850993.54,43882.45,7507782.37,7476032.77,56070.25,,,31749.60,396.87,0.00,0.00,0.00,0.00,3011650.00,37645.63,0.00,0.00,33,33
FY 2022-23,054,GLASTONBURY (054),308903114.44,2590863.19,9591406.02,67338.05,236297837.88,228300412.36,1703432.29,,,7997425.52,99967.83,0.00,0.00,13509674.29,101322.56,49504196.25,618802.46,0.00,0.00,561,400
FY 2022-23,055,GOSHEN (055),53980521.57,510473.91,4038611.57,28789.58,49233910.00,35795410.00,261078.08,,,8806000.00,107525.00,4632500.00,104231.25,0.00,0.00,708000.00,8850.00,0.00,0.00,98,53
FY 2022-23,056,GRANBY (056),67454159.95,509858.71,2993600.00,22452.00,63230559.95,62705559.95,465469.23,,,525000.00,6562.50,0.00,0.00,0.00,0.00,1230000.00,15375.00,0.00,0.00,169,140
FY 2022-23,057,GREENWICH (057),2638440977.05,35927488.89,62159740.05,392496.02,2295462118.00,722041752.52,5403313.17,,,851584254.63,10618865.72,715336110.85,16061087.52,11435000.00,85762.50,269384119.00,3365963.99,0.00,0.00,1011,596
FY 2022-23,058,GRISWOLD (058),46990430.87,354113.64,1568750.00,11765.55,43427680.87,42991780.87,318331.84,,,435900.00,5448.75,0.00,0.00,809000.00,6067.50,1185000.00,12500.00,0.00,0.00,196,159
FY 2022-23,059,GROTON (059),306410688.78,2787877.72,4570711.00,34280.34,183814365.63,165413365.63,1227212.81,,,15901000.00,190168.75,2500000.00,56250.00,15820862.15,2406.47,102204750.00,1277559.38,0.00,0.00,528,352
FY 2022-23,060,GUILFORD (060),248763275.06,2063619.01,13818051.00,96757.88,210976188.56,188644365.51,1372433.58,,,19931823.05,249147.80,2400000.00,54000.00,1666637.50,12499.79,22302398.00,278779.98,0.00,0.00,387,309
FY 2022-23,061,HADDAM (061),53097820.74,383868.02,2792454.00,20943.41,45895366.74,45793366.74,337782.12,,,102000.00,1275.00,0.00,0.00,0.00,0.00,4410000.00,23875.00,0.00,0.00,139,112
FY 2022-23,062,HAMDEN (062),518003445.70,4048571.74,6819500.00,47096.27,287161945.70,284562902.70,2071640.68,,,2599043.00,32488.04,0.00,0.00,180587000.00,1354402.50,43435000.00,542937.50,0.00,0.00,1006,476
FY 2022-23,063,HAMPTON (063),9410914.00,65683.98,1095550.00,5943.75,8315364.00,8315364.00,59740.23,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37,27
FY 2022-23,064,HARTFORD (064),494598533.89,3851388.98,6352585.00,46592.78,205817548.17,204081448.17,1506994.66,,,1586100.00,19826.25,0.00,0.00,216174938.66,1621312.07,65991962.06,654700.84,261500.00,1961.25,995,610
FY 2022-23,065,HARTLAND (065),7667266.28,56492.00,244000.00,817.50,7313266.28,7313266.28,54849.50,,,0.00,0.00,0.00,0.00,110000.00,825.00,0.00,0.00,0.00,0.00,28,38
FY 2022-23,066,HARWINTON (066),31337375.80,236071.73,3205600.00,24042.00,27724275.80,27515275.80,206364.58,,,209000.00,2612.50,0.00,0.00,407500.00,3056.25,0.00,0.00,0.00,0.00,98,87
FY 2022-23,067,HEBRON (067),53943864.99,387276.46,1217200.00,9009.01,51121764.99,51121764.99,360530.75,,,0.00,0.00,0.00,0.00,464900.00,3486.75,1140000.00,14250.00,0.00,0.00,143,110
FY 2022-23,068,KENT (068),29849205.00,246848.75,2148100.00,16110.75,26896105.00,22480105.00,165475.50,,,4416000.00,55200.00,0.00,0.00,0.00,0.00,805000.00,10062.50,0.00,0.00,61,47
FY 2022-23,069,KILLINGLY (069),154068683.47,1435061.53,3584259.52,26881.95,83799423.95,83739423.95,622942.53,,,60000.00,750.00,0.00,0.00,9815000.00,73612.50,56870000.00,710875.00,0.00,0.00,352,216
FY 2022-23,070,KILLINGWORTH (070),48263641.78,370742.80,1580200.00,11851.50,46683441.78,44930441.78,336978.30,,,1753000.00,21912.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112,77
FY 2022-23,071,LEBANON (071),34638684.00,262940.13,2723301.00,20424.75,30310383.00,30310383.00,227327.88,,,0.00,0.00,0.00,0.00,975000.00,7312.50,630000.00,7875.00,0.00,0.00,133,105
FY 2022-23,072,LEDYARD (072),100229229.44,757643.73,4041000.00,30307.51,92698580.44,91973580.44,677490.61,,,725000.00,9062.50,0.00,0.00,567500.00,4256.25,2922149.00,36526.86,0.00,0.00,326,150
FY 2022-23,073,LISBON (073),24755391.84,192240.44,704001.01,5280.01,22736390.83,22736390.83,170522.93,,,0.00,0.00,0.00,0.00,0.00,0.00,1315000.00,16437.50,0.00,0.00,93,60
FY 2022-23,074,LITCHFIELD (074),75814285.01,662115.63,7084576.00,46306.70,56682709.01,48329709.01,360808.94,,,8353000.00,104412.50,0.00,0.00,0.00,0.00,12047000.00,150587.50,0.00,0.00,149,99
FY 2022-23,075,LYME (075),27333889.00,241172.29,3081667.00,23112.50,24252222.00,18804222.00,138959.79,,,4348000.00,54350.00,1100000.00,24750.00,0.00,0.00,0.00,0.00,0.00,0.00,43,44
FY 2022-23,076,MADISON (076),65373833.00,596235.76,275000.00,2062.50,58970683.00,46794283.00,350957.13,,,10726400.00,134080.00,1450000.00,32625.00,18150.00,136.13,6110000.00,76375.00,0.00,0.00,89,22
FY 2022-23,077,MANCHESTER (077),616143891.14,4769151.18,4150705.00,27192.79,202482158.44,202082158.44,1503426.83,,,400000.00,5000.00,0.00,0.00,372696349.70,2795222.64,36814678.00,438308.48,0.00,0.00,862,382
FY 2022-23,078,MANSFIELD (078),93121874.09,811914.06,6954095.00,52155.71,63115779.09,63040779.09,472805.85,,,75000.00,937.50,0.00,0.00,427000.00,3202.50,22625000.00,282812.50,0.00,0.00,238,127
FY 2022-23,079,MARLBOROUGH (079),32468311.00,244562.33,1049901.00,7874.26,31038410.00,30833410.00,229375.57,,,205000.00,2562.50,0.00,0.00,0.00,0.00,380000.00,4750.00,0.00,0.00,90,52
FY 2022-23,080,MERIDEN (080),292374806.95,2535182.99,9373934.00,62159.50,199129629.50,198929629.50,1468158.60,,,200000.00,2500.00,0.00,0.00,3496083.35,24495.63,80375160.10,977869.27,0.00,0.00,884,503
FY 2022-23,081,MIDDLEBURY (081),83929729.00,727323.75,1007000.00,7552.51,77524329.00,69161829.00,516009.99,,,5187500.00,64843.75,3175000.00,71437.50,0.00,0.00,5398400.00,67480.00,0.00,0.00,163,102
FY 2022-23,082,MIDDLEFIELD (082),4593500.00,36270.00,7500.00,0.00,4211000.00,4211000.00,31582.50,,,0.00,0.00,0.00,0.00,0.00,0.00,375000.00,4687.50,0.00,0.00,12,10
FY 2022-23,083,MIDDLETOWN (083),331178620.35,2594809.10,47731679.50,357665.04,178696880.85,178696880.85,1313522.93,,,0.00,0.00,0.00,0.00,76221910.00,571664.33,28528150.00,351945.62,0.00,0.00,706,394
FY 2022-23,084,MILFORD (084),464935364.38,3827281.17,5694300.00,39654.01,392333901.38,357763501.38,2635404.65,,,30370400.00,315880.00,4200000.00,0.00,0.00,0.00,66907163.00,836339.55,0.00,0.00,888,503
FY 2022-23,085,MONROE (085),130399178.69,1032874.97,3519400.00,26395.50,118260278.69,115349778.69,862354.47,,,2910500.00,36381.25,0.00,0.00,0.00,0.00,8619500.00,107743.75,0.00,0.00,261,125
FY 2022-23,086,MONTVILLE (086),109475789.61,872359.88,3941010.00,29377.58,90734779.61,90484779.61,657457.38,,,250000.00,3125.00,0.00,0.00,520000.00,3900.00,14280000.00,178500.00,0.00,0.00,357,213
FY 2022-23,087,MORRIS (087),22976803.00,201528.53,1763534.00,13226.51,20193269.00,16352769.00,122645.77,,,2840500.00,35506.25,1000000.00,22500.00,1020000.00,7650.00,0.00,0.00,0.00,0.00,45,40
FY 2022-23,088,NAUGATUCK (088),174417212.35,1409046.03,4359140.00,32093.56,137644239.02,136401739.02,1012982.64,,,230000.00,2875.00,0.00,0.00,8815500.00,66116.25,23598333.33,294979.18,0.00,0.00,544,339
FY 2022-23,089,NEW BRITAIN (089),253461514.61,2009052.01,2869693.00,21440.19,197380721.61,197090388.27,1461221.89,,,200000.00,2500.00,0.00,0.00,27499700.00,202497.75,25711400.00,321392.50,0.00,0.00,863,480
FY 2022-23,090,NEW CANAAN (090),644602764.70,7366612.03,5080000.00,38100.00,628383444.70,262041067.00,1948058.00,,,294950627.30,3666198.16,70472800.00,1585638.00,2125000.00,15937.50,9014320.00,112679.00,0.00,0.00,353,189
FY 2022-23,091,NEW FAIRFIELD (091),119385768.25,989867.40,2216880.17,16626.60,114685888.08,101028083.08,757710.64,,,12280795.00,153509.93,1377010.00,30982.73,0.00,0.00,2483000.00,31037.50,0.00,0.00,226,169
FY 2022-23,092,NEW HARTFORD (092),45306748.04,357843.52,1741850.00,12171.38,39744898.04,38643466.84,284154.25,,,1101431.20,13767.89,0.00,0.00,0.00,0.00,3820000.00,47750.00,0.00,0.00,129,84
FY 2022-23,093,NEW HAVEN (093),631081547.78,6183893.91,15450286.00,114566.91,287627020.78,278888770.78,2050563.09,,,6348000.00,79350.00,0.00,0.00,26565167.00,194551.25,301439074.00,3744863.44,0.00,0.00,1029,849
FY 2022-23,094,NEWINGTON (094),202322616.40,1717796.65,9279000.00,69592.50,139436032.40,139436032.40,1043295.26,,,0.00,0.00,0.00,0.00,13036156.00,97771.17,40571428.00,507142.85,0.00,0.00,534,273
FY 2022-23,095,NEW LONDON (095),162819336.00,1438019.31,9495150.00,71213.63,98003686.00,95643686.00,681506.92,,,1810000.00,22625.00,550000.00,12375.00,1822500.00,13668.75,53280000.00,636625.01,218000.00,0.00,424,228
FY 2022-23,096,NEW MILFORD (096),218619993.02,1740393.54,5663236.57,42474.28,200886456.45,189205203.45,1384840.30,,,9556253.00,118184.41,2125000.00,47812.50,759500.00,5696.25,11310800.00,141385.00,0.00,0.00,564,333
FY 2022-23,097,NEWTOWN (097),236198682.80,1850742.01,5808250.09,43561.88,223975432.71,212895549.71,1595719.17,,,10529883.00,131623.55,0.00,0.00,70000.00,525.00,6345000.00,79312.50,0.00,0.00,441,256
FY 2022-23,098,NORFOLK (098),19142033.00,164365.25,1447329.00,10764.97,16934704.00,13516704.00,101375.28,,,3418000.00,42725.00,0.00,0.00,0.00,0.00,760000.00,9500.00,0.00,0.00,39,22
FY 2022-23,099,NORTH BRANFORD (099),66644285.63,522013.96,1347400.00,10105.50,59814680.63,59713680.63,444668.29,,,101000.00,1262.50,0.00,0.00,510000.00,3825.00,4972205.00,62152.57,0.00,0.00,179,132
FY 2022-23,100,NORTH CANAAN (100),16790224.83,142606.68,532879.83,3996.60,13145345.00,12329345.00,92470.08,,,816000.00,10200.00,0.00,0.00,592000.00,4440.00,2520000.00,31500.00,0.00,0.00,56,41
FY 2022-23,101,NORTH HAVEN (101),185457776.21,1592784.11,5636300.00,42272.25,133607315.21,132014815.21,971991.15,,,1592500.00,19906.25,0.00,0.00,0.00,0.00,46214161.00,558614.52,0.00,0.00,370,220
FY 2022-23,102,NORTH STONINGTON (102),39060560.00,300454.21,2719400.00,20395.51,33719660.00,33719660.00,252897.45,,,0.00,0.00,0.00,0.00,1121500.00,8411.25,1500000.00,18750.00,0.00,0.00,125,99
FY 2022-23,103,NORWALK (103),1160398685.16,10535773.10,11489451.50,85420.89,861720683.67,662864190.58,4880631.85,,,158482474.09,1981030.94,40653144.00,914695.74,97226000.00,729195.00,189962549.99,1944806.88,0.00,0.00,1323,644
FY 2022-23,104,NORWICH (104),206384450.65,1592343.93,4002351.00,30017.63,165388135.40,165288135.40,1164014.44,,,488759.00,6109.49,0.00,0.00,8419781.30,55520.87,28574182.95,336688.52,0.00,0.00,828,420
FY 2022-23,105,OLD LYME (105),102114089.89,848074.17,2912001.00,21840.00,91387088.89,83159738.89,623698.05,,,8027350.00,100341.88,200000.00,4500.00,0.00,0.00,7815000.00,97687.50,0.00,0.00,178,191
FY 2022-23,106,OLD SAYBROOK (106),145131219.00,1307567.14,1706755.00,12800.66,133070937.00,109370437.00,820278.15,,,18805500.00,235068.75,4895000.00,110137.50,27500.00,206.25,10326027.00,129075.34,0.00,0.00,236,198
FY 2022-23,107,ORANGE (107),114940304.01,971672.31,964751.00,7235.63,87567353.01,84612353.01,624992.68,,,2955000.00,36937.50,0.00,0.00,5519200.00,41394.00,20889000.00,261112.50,0.00,0.00,179,140
FY 2022-23,108,OXFORD (108),96096023.27,744245.13,3616400.00,27123.00,88949623.27,87774623.27,658309.71,,,1175000.00,14687.50,0.00,0.00,0.00,0.00,3530000.00,44125.00,0.00,0.00,207,136
FY 2022-23,109,PLAINFIELD (109),84424762.44,702283.67,1850400.00,13878.00,66701862.44,66701862.44,497149.42,,,0.00,0.00,0.00,0.00,980000.00,5100.00,14892500.00,186156.25,0.00,0.00,291,171
FY 2022-23,110,PLAINVILLE (110),96688854.25,756763.14,4661760.00,34963.20,74340427.56,74255137.56,555751.08,,,85290.00,1066.13,0.00,0.00,5406666.69,40550.00,12054500.00,124431.25,225500.00,0.00,311,197
FY 2022-23,111,PLYMOUTH (111),59757084.63,475998.12,1131255.08,7434.41,51112503.57,51062503.57,376747.14,,,50000.00,625.00,0.00,0.00,545000.00,4087.50,6968325.98,87104.07,0.00,0.00,222,122
FY 2022-23,112,POMFRET (112),20237570.00,155281.79,1529470.00,11471.03,18708100.00,18008100.00,135060.76,,,700000.00,8750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,62
FY 2022-23,113,PORTLAND (113),62838143.85,503811.09,3744900.00,23886.75,49098243.85,48748243.85,365611.84,,,350000.00,4375.00,0.00,0.00,3000000.00,22500.00,6995000.00,87437.50,0.00,0.00,175,135
FY 2022-23,114,PRESTON (114),26397479.90,196856.10,1082799.90,8121.01,25004780.00,25004780.00,186410.86,,,0.00,0.00,0.00,0.00,309900.00,2324.25,0.00,0.00,0.00,0.00,109,81
FY 2022-23,115,PROSPECT (115),54632854.98,486746.42,1035000.00,7762.50,37897854.98,37897854.98,282733.92,,,0.00,0.00,0.00,0.00,0.00,0.00,15700000.00,196250.00,0.00,0.00,117,100
FY 2022-23,116,PUTNAM (116),66834339.99,613562.04,1888711.00,14165.33,41990991.49,41990991.49,314932.44,,,0.00,0.00,0.00,0.00,493637.50,3702.28,22461000.00,280762.50,0.00,0.00,185,100
FY 2022-23,117,REDDING (117),131489550.72,1119292.15,520000.00,3900.00,128794550.72,103744701.00,775085.27,,,25049849.72,313123.13,0.00,0.00,0.00,0.00,2175000.00,27187.50,0.00,0.00,151,95
FY 2022-23,118,RIDGEFIELD (118),444285352.86,4331096.49,853500.00,6326.25,435388852.86,297352422.00,2228102.45,,,110959930.86,1386999.15,27076500.00,609221.25,18000.00,135.00,8025000.00,100312.50,0.00,0.00,452,282
FY 2022-23,119,ROCKY HILL (119),142192084.00,1352349.40,1273002.00,9547.52,81884082.00,80642082.00,590089.39,,,1242000.00,15525.00,0.00,0.00,150000.00,1125.00,58885000.00,736062.50,0.00,0.00,267,182
FY 2022-23,120,ROXBURY (120),38225594.00,377524.96,4623600.00,32427.00,33281226.00,18664626.00,139984.70,,,12616600.00,157707.50,2000000.00,45000.00,0.00,0.00,0.00,0.00,320768.00,2405.76,46,52
FY 2022-23,121,SALEM (121),29377601.00,235498.20,1075000.00,8062.50,24119364.00,24069364.00,180520.24,,,50000.00,625.00,0.00,0.00,1200000.00,9000.00,2983237.00,37290.46,0.00,0.00,95,57
